IMAGEN;NOMBRE;COD_PRODUCTO;CATEGORIA;PRECIO;CANTIDAD
-;ACERADO BAÑO;-;DECORACIONES;S/ 11.81;1000
-;ACERADO CLARO;-;MAYOLICAS;S/ 22.52;1000
-;ACERADO OSCURO;-;MAYOLICAS;S/ 52.67;1000
-;ALABAMA;-;TABLONES;S/ 44.40;1000
-;ALICANTE NEGRO 120;-;PORCELANATOS;S/ 46.02;1000
-;ALICANTE NEGRO 60;-;PORCELANATOS;S/ 44.32;1000
-;ALICE GREY;-;PORCELANATOS;S/ 38.88;1000
-;ALPHA BROWN 1.20;-;PORCELANATOS;S/ 57.87;1000
-;ALPHES GREY;-;PORCELANATOS;S/ 32.73;1000
-;ALPINUS GREY;-;TABLONES;S/ 31.09;1000
-;ALUMINIO;-;TABLONES;S/ 48.00;1000
-;ALVA GRIS;-;TABLONES;S/ 42.03;1000
-;ALVINA GREY;-;PORCELANATOS;S/ 34.49;1000
-;AMOURET BLANCO;-;PORCELANATOS;S/ 50.50;1000
-;AMOURET GREY;-;PORCELANATOS;S/ 34.10;1000
-;ANDINO BLACK;-;PORCELANATOS;S/ 32.40;1000
-;ANDROMEDA 120;-;PORCELANATOS;S/ 49.84;1000
-;APOLO GRIS;-;FACHALETAS;S/ 43.91;1000
-;AQUAFINA GOLD 120;-;PORCELANATOS;S/ 56.16;1000
-;AQUARELA GOLD 120;-;PORCELANATOS;S/ 33.65;1000
-;ARCE NATURAL;-;PORCELANATOS;S/ 34.17;1000
-;ARENA SUAVE;-;MAYOLICAS;S/ 35.98;1000
-;ARTICO GRIS;-;MAYOLICAS;S/ 42.18;1000
-;ASIA WHITE;-;PORCELANATOS;S/ 26.91;1000
-;ATACAMA;-;PORCELANATOS;S/ 31.83;1000
-;ATHENAS VITRIFICADO;-;MAYOLICAS;S/ 33.26;1000
-;ATICA WHITE;-;MAYOLICAS;S/ 25.55;1000
-;ATICUS GREY;-;PORCELANATOS;S/ 32.35;1000
-;AURA BRONCE;-;PORCELANATOS;S/ 31.30;1000
-;AVANTO WHITE;-;MAYOLICAS;S/ 33.14;1000
-;BALTICO;-;PORCELANATOS;S/ 26.78;1000
-;BARI BROWN;-;PORCELANATOS;S/ 32.18;1000
-;BASIC WHITE;-;PORCELANATOS;S/ 20.18;1000
-;BISELADO CLARO;-;PORCELANATOS;S/ 36.72;1000
-;BLANCO BRILLANTE;-;MAYOLICAS;S/ 24.44;1000
-;BLANCO MATE;-;PORCELANATOS;S/ 31.12;1000
-;BLANCO VITRIFICADO;-;PORCELANATOS;S/ 32.75;1000
-;BOMBAY DIAMANTE;-;PORCELANATOS;S/ 31.96;1000
-;BORNITE GRIS;-;MAYOLICAS;S/ 31.21;1000
-;BOSQUEJO GRIS;-;PORCELANATOS;S/ 33.17;1000
-;BOWL ARCEL;-;BOWL;S/ 36.71;1000
-;BRAVIA GREY;-;PORCELANATOS;S/ 33.19;1000
-;BRAVIA MATE;-;PORCELANATOS;S/ 33.86;1000
-;BRECIA NOGAL;-;PORCELANATOS;S/ 38.11;1000
-;BRECIA ROBLE;-;DECORACIONES;S/ 30.82;1000
-;BRICK BIANCO;-;DECORACIONES;S/ 8.50;1000
-;BRICK BLANCO;-;DECORACIONES;S/ 33.75;1000
-;BUNTAS AZUL;-;FACHALETAS;S/ 46.87;1000
-;BURBUJAS;-;PORCELANATOS;S/ 25.47;1000
-;CABANA GREY;-;CERAMICA;S/ 30.62;1000
-;CAFE 201;-;MAYOLICAS;S/ 25.95;1000
-;CALACATA;-;CERAMICA;S/ 40.63;1000
-;CALACATA MATE;-;CERAMICA;S/ 32.87;1000
-;CALACATA VITRIFICADO;-;MAYOLICAS;S/ 34.78;1000
-;CAMEL 120;-;PORCELANATOS;S/ 26.90;1000
-;CAMILA BROWN;-;PORCELANATOS;S/ 23.85;1000
-;CANTERA;-;CERAMICA;S/ 29.03;1000
-;CAOBA CARAMEL;-;CERAMICA;S/ 45.68;1000
-;CAOBA DARK 120;-;CERAMICA;S/ 40.03;1000
-;CAOBA GREY;-;CERAMICA;S/ 24.15;1000
-;CARAL GRIS;-;CERAMICA;S/ 29.52;1000
-;CARRARA ATHENA;-;CERAMICA;S/ 33.13;1000
-;CARRARA BROWN;-;CERAMICA;S/ 29.09;1000
-;CARTVIN NATURAL;-;DECORACIONES;S/ 48.96;1000
-;CATALINA;-;DECORACIONES;S/ 8.06;1000
-;CATALINA CLARO;-;MAYOLICAS;S/ 19.82;1000
-;CEBOLLA;-;DECORACIONES;S/ 6.00;1000
-;CEDRO MIEL;-;PORCELANATOS;S/ 39.76;1000
-;CEMANTO PLATA;-;CERAMICA;S/ 33.02;1000
-;CEMENT GRIS;-;PORCELANATOS;S/ 20.29;1000
-;CEMENTO BEIGE;-;PORCELANATOS;S/ 25.70;1000
-;CEMENTO GRAFITO;-;PORCELANATOS;S/ 24.54;1000
-;CEMENTO GRIS;-;PORCELANATOS;S/ 27.29;1000
-;CEMENTO HUESO;-;PORCELANATOS;S/ 29.16;1000
-;CEMENTO MARRON;-;PORCELANATOS;S/ 12.57;1000
-;CEMENTO PLATA;-;PORCELANATOS;S/ 24.20;1000
-;CENIZO;-;CERAMICA;S/ 30.10;1000
-;CERAMICO ROBLE;-;FACHALETAS;S/ 33.36;1000
-;CHARLES SLATE;-;PORCELANATOS;S/ 60.16;1000
-;CHASKA NATURAL;-;CERAMICA;S/ 28.68;1000
-;CINZA COCINA;-;PORCELANATOS;S/ 28.08;1000
-;CIRIUS MARRON;-;PORCELANATOS;S/ 34.11;1000
