RUC;NOMBRE;UBICACION;TELEFONO
-;ABEL - HUARAZ;HUARAZ;-
-;ACABADOS CALE 1019;GALERIA 1019;-
-;ACABADOS CESAR;-;-
-;ACABADOS CIRENE;-;-
-;ACABADOS EN CERAMICAS;-;-
-;ADOLFO VIDAL;CHIMBOTE;-
-;ADONAY;CONSTRUCENTER;-
-;ALBERT CEVERINO;HUARAZ;-
-;ALBERTO PIURA;PIURA;-
-;ALDO ASCIS 107;STA. MERCEDEZ;-
-;ALESSIA 945B;CUADRA 9;-
-;ALESSIA 977;CUADRA 9;-
-;ALESSIA 987;CUADRA 9;-
-;ALEX 964;FRENTE;-
-;ALEX 995 ZOTANO;GALERIA 955 ZOTANO;-
-;ALFONSO DORADOR;-;-
-;ALONSO;-;-
-;ALTAMIRANO;-;-
-;AMELIA MARZANO;-;-
-;AMESA;-;-
-;ANA SURQUILLO;SURQUILLO;-
-;ANA WONG;-;-
-;ANABEL;STA. INES;-
-;ANAHI;-;-
-;ANALY CERAMIC;CONSTRUCENTER;-
-;ANDREA - TRUJILLO;TRUJILLO;-
-;ANDY;-;-
-;ANIBAL;-;-
-;ANTHONY - S.J.M;SAN JUAN DE MIRAFLORES;-
-;ANTONIO SURQUILLO;SURQUILLO;-
-;AQUILA;CONSTRUCENTER;-
-;ARACELY - S.J.L;SAN JUAN DE LURIGANCHO;-
-;ARCOR;-;-
-;ARET 845;CUADRA 8;-
-;ARMANDO 1069;GALERIA 1069;-
-;ARON - TRUJILLO;TRUJILLO;-
-;ARQUIDICEÑO 957;CUADRA 9;-
-;ARTE Y CERAMICA;-;-
-;ASTRID - ATE;ATE;-
-;AYALA 1049;CUADRA 10;-
-;AYM CERAMIC IMPORT;SURQUILLO;-
-;AYS CHIMBOTE;CHIMBOTE;-
-;AZUCENA;CONSTRUCENTER;-
-;AZUCENA 955;CUADRA 9;-
-;AZULEJOS RAMIREZ 947;CUADRA 9;-
-;BALTAZAR;-;-
-;BALUARTE;-;-
-;BARCELONA - ATE;ATE;-
-;BARRANCA;-;-
-;BLANQUITA CHIMBOTE;CHIMBOTE;-
-;BLUECENTER;-;-
-;BONAVENTURA;-;-
-;BRIGHIT TRUJILLO;TRUJILLO;-
-;CACERES - SURQUILLO;SURQUILLO;-
-;CAFERINO - LAMBAYEQUE;LAMBAYEQUE;-
-;CAFIRO 741;CUADRA 7;-
-;CAMACHO;-;-
-;CARLOS;-;-
-;CARMEN - HUACHIPA;HUACHIPA;-
-;CAROL 931C;GALERIA 931;-
-;CASA BLANCA;CONSTRUCENTER;-
-;CASA GRANDE;-;-
-;CASA IDEAL - TRUJILLO;TRUJILLO;-
-;CASA YURACITO - CARAZ;CARAZ;-
-;CASAMOVAL 976;FRENTE;-
-;CASMA;-;-
-;CASTEL;-;-
-;CECILIA - S.J.M;SAN JUAN DE MIRAFLORES;-
-;CENTRO CERAMICA;-;-
-;CERAFER;-;-
-;CERAL IMPORT 991;CUADRA 9;-
-;CERALEX;-;-
-;CERAMIC KARELYS;-;-
-;CERAMIC ROMA - SURQUILLO;SURQUILLO;-
-;CERAMICASA;-;-
-;CERAMICENTER;-;-
-;CERAMICORP;-;-
-;CERAMICOS IMPORT;-;-
-;CERAMICOS Y&A;PTE. PIEDRA;-
-;CERAMIDEAS - BARRANCA;BARRANCA;-
-;CERAMIDEAS - HUARAL;HUARAL;-
-;CERAMIHOGAR;-;-
-;CERAMISAC - BARRANCA;BARRANCA;-
-;CERAMISAC - HUAYCAN;HUAYCAN;-
-;CERVA;CONSTRUCENTER;-
-;CERZAID;-;-
-;CESAR INNOVA;-;-
-;CHARITO 1080;STA. CLORINDA;-
-;CHICLAYO PAZ;-;-
-;CHIHUALA 966;FRENTE;-
-;CHINO - HUARAL;HUARAL;-
-;CHINO ZOCALO;-;-
-;CHOCACA;-;-
-;CIARA - COMAS;COMAS;-
-;COHELO;CONSTRUCENTER;-
-;COMERCIAL ISAC;-;-
