FECHA;ALMACEN;CLIENTE;TIPO DOCUMENTO;PRODUCTO;CANTIDAD;UNIDAD;TOTAL;MONTO PAGADO;DIFERENCIA;ESTADO DE ENTREGA;ESTADO DE PAGO;TIPO DE ENTREGA;METOPO DE PAGO
02/01/2025;CURVA;CORPORACION BD&S;FACTURA;GENESIS NEGRO 120;2;0;$244.00;$244.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;CORPORACION BD&S;FACTURA;FIRENSE;7;0;$257.04;$257.04;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;ANTHONY - S.J.M;FACTURA;LUCERO GRIS;12;0;$440.65;$440.65;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;GIOVANNY AGUIRRE;FACTURA;NAKIA PLATA;50;0;$1,800.00;$1,800.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;JAZMIN;FACTURA;CEMENTO GRIS;80;0;$2,816.00;$2,816.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;KEVELYN 931;FACTURA;HUESO;7;0;$199.50;$199.50;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;MUNDO;FACTURA;MADERA CAFE;3;0;$110.16;$110.16;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;MILLA;MUNDO;FACTURA;ELECTRIC BEIGE;4;0;$126.40;$126.40;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;MUNDO;FACTURA;CUARZO GRIS;31;0;$1,160.64;$1,160.64;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;REAL CASA;FACTURA;MADERA BEIGE;0;1;$9.00;$9.00;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
02/01/2025;CURVA;KYJ 887;FACTURA;GRANITO GRAFITO 120;7;2;$615.60;$615.60;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;CURVA;SANCHEZ - CHIMBOTE;FACTURA;NAKIA PLATA;1;0;$36.00;$36.00;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;MILLA;ACABADOS CESAR;FACTURA;ALPHA BROWN 1.20;3;0;$190.20;$190.20;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;MILLA;RUSBELL - CHIMBOTE;FACTURA;SUPER BLANCO;4;0;$161.28;$161.28;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;CURVA;KRONOS HUARAZ;FACTURA;CHASKA NATURAL;6;0;$224.62;$224.62;$0.00;ENTREGADO;PAGADO;ENVIAR;TRANS. BCP
02/01/2025;SANTA CAROLINA;ROMERO;FACTURA;ALVA GRIS;54;1;$2,601.60;$2,601.60;$0.00;ENTREGADO;PAGADO;ENVIAR;EFECTIVO
